au_id,ARTICLES,DURATION,ARTIPERYEAR,DEGREE-I,DEGREE-O,CLOSS-I,CLOSS-O,BETT,HITS-HUB,HITS-AUT,SH-EFF,SH-ES,SH-CONSTR,SH-HIERARCHY
615,2,1,2,0.002,0,0.038,0,0,0,0,1,1,1,1
617,2,1,2,0.002,0,0.021,0,0,0,0,1,1,1,1
620,2,1,2,0.002,0,0.02,0,0,0,0,1,1,1,1
622,4,3,1.333,0.003,0,0.022,0,0,0.001,0,0.667,1.333,0.837,0.087
625,2,1,2,0.002,0,0.024,0,0,0.067,0,1,1,1,1
626,2,1,2,0,0.002,0,0.002,0,0,0,1,1,1,1
629,4,4,1,0.003,0,0.023,0,0,0,0,1,2,0.5,0
630,2,1,2,0,0.003,0,0.003,0,0,0,0.5,1,0.953,0.024
631,2,1,2,0.002,0,0.029,0,0,0,0,1,1,1,1
632,2,1,2,0,0.002,0,0.002,0,0,0,1,1,1,1
633,2,1,2,0.002,0,0.035,0,0,0,0,1,1,1,1
637,2,1,2,0,0.005,0,0.007,0,0,0,0.778,2.333,0.521,0.049
643,2,3,0.667,0.002,0,0.019,0,0,0,0,1,1,1,1
649,4,1,4,0.002,0.002,0.002,0.041,0.001,0,0.072,1,2,0.5,0
650,2,1,2,0,0.002,0,0.002,0,0,0,1,1,1,1
652,2,2,1,0.003,0,0.003,0,0,0.003,0,1,2,0.5,0
660,4,1,4,0.002,0.002,0.024,0.002,0,0.015,0,1,2,0.5,0
671,8,12,0.667,0.017,0.007,0.062,0.046,0.023,0.332,0.032,0.956,11.47,0.142,0.275
673,2,1,2,0.002,0,0.031,0,0,0.001,0,1,1,1,1
674,4,2,2,0.002,0.003,0.004,0.005,0,0.001,0.003,1,2,0.556,0.278
675,2,1,2,0.002,0,0.025,0,0,0,0,1,1,1,1
677,4,3,1.333,0.002,0.003,0.023,0.003,0.001,0,0,1,3,0.333,0
678,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
682,2,1,2,0.002,0,0.017,0,0,0,0,1,1,1,1
683,2,1,2,0.002,0,0.006,0,0,0.001,0,1,1,1,1
686,2,1,2,0.002,0,0.027,0,0,0,0,1,1,1,1
687,2,1,2,0.002,0,0.029,0,0,0,0,1,1,1,1
688,2,1,2,0.002,0,0.002,0,0,0,0,1,1,1,1
689,2,1,2,0,0.003,0,0.038,0,0,0,1,2,0.5,0
690,2,1,2,0.002,0,0.002,0,0,0.008,0,1,1,1,1
691,4,1,4,0.002,0.005,0.033,0.005,0.001,0,0,1,4,0.25,0
694,2,1,2,0,0.002,0,0.006,0,0,0,1,1,1,1
695,2,1,2,0,0.002,0,0.022,0,0,0.004,1,1,1,1
697,2,1,2,0.002,0,0.018,0,0,0,0,1,1,1,1
705,2,1,2,0,0.014,0,0.014,0,0,0,1,8,0.136,0.089
706,2,1,2,0.002,0,0.019,0,0,0,0,1,1,1,1
713,2,1,2,0,0.005,0,0.005,0,0,0,1,3,0.333,0
